,Name,Sequence Accession,Complete Genome,Segment,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name,Unnamed: 12,coords0,coords1,coords2
127,HA,KM064125,No,4,1701,H3N2,2014-03-15,IRD:Human,USA,Alaska,13-14,A/Alaska/05/2014,,1.4708082675933838,-0.595497727394104,2.889409065246582
128,HA,KY044354,Yes,4,1737,H3N2,2016-01-31,IRD:Human,USA,Alaska,15-16,A/Alaska/05/2016,,0.9749566912651062,-0.602429986000061,2.166703224182129
129,HA,KX414920,Yes,4,1737,H3N2,2016-01-31,IRD:Human,USA,Alaska,15-16,A/Alaska/05/2016,,0.9749566912651062,-0.602429986000061,2.166703224182129
131,HA,EU199374,No,4,1701,H3N2,2007-03-08,IRD:Human,USA,Alaska,06-07,A/Alaska/06/2007,,2.069464921951294,-2.1175734996795654,0.7450719475746155
132,HA,KF789569,No,4,1701,H3N2,2013-05-21,IRD:Human,USA,Alaska,12-13,A/Alaska/06/2013,,1.3809244632720947,-1.2715275287628174,2.3263015747070312
133,HA,KM852927,No,4,1701,H3N2,2014-04-17,IRD:Human,USA,Alaska,13-14,A/Alaska/06/2014,,0.9254180788993835,-0.6361157894134521,2.5161256790161133
134,HA,KM064109,No,4,1701,H3N2,2014-04-17,IRD:Human,USA,Alaska,13-14,A/Alaska/06/2014,,0.9254180788993835,-0.6361157894134521,2.5161256790161133
135,HA,KX414912,Yes,4,1737,H3N2,2016-01-23,IRD:Human,USA,Alaska,15-16,A/Alaska/06/2016,,-0.785940945148468,-2.159498691558838,2.785081386566162
138,HA,KT843470,Yes,4,1701,H3N2,2015-04-18,IRD:Human,USA,Alaska,14-15,A/Alaska/09/2015,,-0.0020339936017990112,-1.9529515504837036,2.283339023590088
140,HA,KC883393,No,4,1701,H3N2,2011-02-04,IRD:Human,USA,Alaska,10-11,A/Alaska/10/2011,,2.790313482284546,-0.9455335140228271,1.2548805475234985
141,HA,KT843433,Yes,4,1701,H3N2,2015-04-12,IRD:Human,USA,Alaska,14-15,A/Alaska/10/2015,,-0.0020339936017990112,-1.9529515504837036,2.283339023590088
143,HA,KX003627,Yes,4,1701,H3N2,2015-07-03,IRD:Human,USA,Alaska,-N/A-,A/Alaska/100/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
144,HA,KX003635,Yes,4,1701,H3N2,2015-07-04,IRD:Human,USA,Alaska,-N/A-,A/Alaska/101/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
145,HA,KX003643,Yes,4,1701,H3N2,2015-06-28,IRD:Human,USA,Alaska,-N/A-,A/Alaska/102/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
146,HA,KX003651,Yes,4,1701,H3N2,2015-07-04,IRD:Human,USA,Alaska,-N/A-,A/Alaska/103/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
147,HA,KX003659,Yes,4,1701,H3N2,2015-07-04,IRD:Human,USA,Alaska,-N/A-,A/Alaska/104/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
148,HA,KX003667,Yes,4,1701,H3N2,2015-07-04,IRD:Human,USA,Alaska,-N/A-,A/Alaska/105/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
149,HA,KX003674,Yes,4,1701,H3N2,2015-06-27,IRD:Human,USA,Alaska,-N/A-,A/Alaska/106/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
150,HA,KX003680,Yes,4,1701,H3N2,2015-07-03,IRD:Human,USA,Alaska,-N/A-,A/Alaska/107/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
151,HA,KX003686,Yes,4,1701,H3N2,2015-07-06,IRD:Human,USA,Alaska,-N/A-,A/Alaska/108/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
152,HA,KX003693,Yes,4,1701,H3N2,2015-07-07,IRD:Human,USA,Alaska,-N/A-,A/Alaska/109/2015,,-0.09983901679515839,-1.9914807081222534,2.2329893112182617
154,HA,KU590854,Yes,4,1701,H3N2,2015-07-09,IRD:Human,USA,Alaska,-N/A-,A/Alaska/111/2015,,-0.09983901679515839,-1.9914807081222534,2.2329893112182617
155,HA,KX003707,Yes,4,1701,H3N2,2015-07-04,IRD:Human,USA,Alaska,-N/A-,A/Alaska/112/2015,,-0.06620578467845917,-1.832022786140442,2.1646342277526855
156,HA,KX003715,Yes,4,1701,H3N2,2015-07-10,IRD:Human,USA,Alaska,-N/A-,A/Alaska/113/2015,,-0.09983901679515839,-1.9914807081222534,2.2329893112182617
157,HA,KX003723,Yes,4,1701,H3N2,2015-07-06,IRD:Human,USA,Alaska,-N/A-,A/Alaska/114/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
158,HA,KX003731,Yes,4,1701,H3N2,2015-07-04,IRD:Human,USA,Alaska,-N/A-,A/Alaska/115/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
159,HA,KU590942,Yes,4,1701,H3N2,2015-07-06,IRD:Human,USA,Alaska,-N/A-,A/Alaska/116/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
160,HA,KX003747,Yes,4,1737,H3N2,2015-07-07,IRD:Human,USA,Alaska,-N/A-,A/Alaska/117/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
161,HA,KX003755,Yes,4,1737,H3N2,2015-07-15,IRD:Human,USA,Alaska,-N/A-,A/Alaska/118/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
162,HA,KX003763,Yes,4,1737,H3N2,2015-07-08,IRD:Human,USA,Alaska,-N/A-,A/Alaska/119/2015,,0.004929736256599426,-1.9555941820144653,2.262819290161133
163,HA,KX003771,Yes,4,1737,H3N2,2015-07-08,IRD:Human,USA,Alaska,-N/A-,A/Alaska/119/2015,,0.004929736256599426,-1.9555941820144653,2.262819290161133
165,HA,KX003779,Yes,4,1737,H3N2,2015-07-10,IRD:Human,USA,Alaska,-N/A-,A/Alaska/120/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
166,HA,KX003787,Yes,4,1737,H3N2,2015-07-09,IRD:Human,USA,Alaska,-N/A-,A/Alaska/121/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
167,HA,KX003795,Yes,4,1737,H3N2,2015-07-05,IRD:Human,USA,Alaska,-N/A-,A/Alaska/122/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
168,HA,KX003803,Yes,4,1737,H3N2,2015-07-15,IRD:Human,USA,Alaska,-N/A-,A/Alaska/123/2015,,-0.00019721686840057373,-2.039541244506836,2.1354360580444336
169,HA,KX003811,Yes,4,1737,H3N2,2015-07-14,IRD:Human,USA,Alaska,-N/A-,A/Alaska/124/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
170,HA,KX003819,Yes,4,1737,H3N2,2015-07-17,IRD:Human,USA,Alaska,-N/A-,A/Alaska/126/2015,,0.05459614098072052,-1.6901313066482544,2.1843996047973633
171,HA,KX003827,Yes,4,1737,H3N2,2015-07-17,IRD:Human,USA,Alaska,-N/A-,A/Alaska/127/2015,,-0.07494662702083588,-2.0883328914642334,2.279616355895996
172,HA,KX003835,Yes,4,1737,H3N2,2015-07-16,IRD:Human,USA,Alaska,-N/A-,A/Alaska/128/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
173,HA,KX003843,Yes,4,1737,H3N2,2015-07-18,IRD:Human,USA,Alaska,-N/A-,A/Alaska/129/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
174,HA,KC883090,No,4,1701,H3N2,2011-04-12,IRD:Human,USA,Alaska,10-11,A/Alaska/13/2011,,2.6419546604156494,-0.8141725063323975,1.1142688989639282
175,HA,KT844331,Yes,4,1701,H3N2,2015-06-05,IRD:Human,USA,Alaska,-N/A-,A/Alaska/13/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
176,HA,KX003851,Yes,4,1737,H3N2,2015-07-23,IRD:Human,USA,Alaska,-N/A-,A/Alaska/131/2015,,-0.07204459607601166,-2.0889546871185303,2.313178539276123
177,HA,KX003859,Yes,4,1737,H3N2,2015-07-18,IRD:Human,USA,Alaska,-N/A-,A/Alaska/132/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
178,HA,KX003867,Yes,4,1737,H3N2,2015-07-25,IRD:Human,USA,Alaska,-N/A-,A/Alaska/133/2015,,0.05459614098072052,-1.6901313066482544,2.1843996047973633
179,HA,KX003875,Yes,4,1737,H3N2,2015-07-26,IRD:Human,USA,Alaska,-N/A-,A/Alaska/134/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
